"disease","causal_organism","time_of_occurence","incidence","place_of_occurence","reference","img_file"
"Brown root rot","Pythium vexans","2013 (observed during survey from May 2013 to September 2014)","Severe yield loss (>40%)","Yuanjiang City (112.11°E, 28.51°N) Hunan Province China","Yu, Yong-ting & Chen, Jia & Gao, Chun-Sheng & Zeng, Liang-Bin & Li, Zhi-Min & Zhu, Tao-Tao & Sun, Kai & Yi, Cheng & Xiang-ping, Sun & Yan, Li & Yan, Zhun & Zhu, Aiguo. (2016). First report of brown root rot caused by Pythium vexans on ramie in Hunan, China. Canadian Journal of Plant Pathology. 38. 1-6. https://doi.org/10.1080/07060661.2016.1230150.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/brown_root.png)"
"Cercospora leaf spot","Cercospora boehmeriicola","July to October","20–40%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/cercospora_leaf_spot.jpg)"
"Target leaf spot","Pestalotia spp","July to September","40–80%","Ramie Research Station, Sorbhog, Assam, India","Gawande, Shailesh; Sharma, A.K.; & Satpathy, Satyaram. (2016). Occurrence Of New Pest And Disease In Ramie (Boehmeria Nivea L. Gaud) Germplasm Under North Eastern Conditions. Biotech Today: An International Journal of Biological Sciences, 6(1), 21–28. https://doi.org/10.5958/2322-0996.2016.00002.8.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/target_leaf_spot.jpg)"
"Anthracnose leaf spot","Colletotrichum gloeosporioides","October to January","10-60%","Ramie Research Station, Sorbhog, Assam, India","Mitra, S., Saha, S., Guha, B., Chakrabarti, K., Satya, P., Sharma, A. K., Gawande, S. P., Kumar, M., & Saha, M. (2013). Ramie: The Strongest Bast Fibre of Nature. Technical Bulletin No. 8, CRIJAF, ICAR, Barrackpore, Kolkata-120.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/anthracnose_leaf_spot.jpg)"
"Collar rot","Sclerotium rolfsii","April to October","5-20%","Ramie Research Station, Sorbhog, Assam, India","Mitra, S., Saha, S., Guha, B., Chakrabarti, K., Satya, P., Sharma, A. K., Gawande, S. P., Kumar, M., & Saha, M. (2013). Ramie: The Strongest Bast Fibre of Nature. Technical Bulletin No. 8, CRIJAF, ICAR, Barrackpore, Kolkata-120.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/collar_rot.png)"
"Wilt","Complex disease","April to June","15-70%","Ramie Research Station, Sorbhog, Assam, India","Mitra, S., Saha, S., Guha, B., Chakrabarti, K., Satya, P., Sharma, A. K., Gawande, S. P., Kumar, M., & Saha, M. (2013). Ramie: The Strongest Bast Fibre of Nature. Technical Bulletin No. 8, CRIJAF, ICAR, Barrackpore, Kolkata-120.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/wilt.jpg)"
"Damping off of seedling","Rhizoctonia spp.","Throughout year","5-20%","Ramie Research Station, Sorbhog, Assam, India","Mitra, S., Saha, S., Guha, B., Chakrabarti, K., Satya, P., Sharma, A. K., Gawande, S. P., Kumar, M., & Saha, M. (2013). Ramie: The Strongest Bast Fibre of Nature. Technical Bulletin No. 8, CRIJAF, ICAR, Barrackpore, Kolkata-120.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/damping_off.jpg)"
"Yellow Mosaic","Viral disease","October to March","30-70%","Ramie Research Station, Sorbhog, Assam, India","Mitra, S., Saha, S., Guha, B., Chakrabarti, K., Satya, P., Sharma, A. K., Gawande, S. P., Kumar, M., & Saha, M. (2013). Ramie: The Strongest Bast Fibre of Nature. Technical Bulletin No. 8, CRIJAF, ICAR, Barrackpore, Kolkata-120.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/yellow_mosaic.jpg)"
"Angular Leaf Spot","Pseudocercospora boehmeriae","Throughout the year (severe during rainy season)","Severe yield loss due to growth retardation","Bogor, Lembang, Tasikmalaya, Garut and Malang, Java, Indonesia","Rachmat, A. S., Kobayashi, T., & Oniki, M. (1994). Angular Leaf Spot of Ramie (Boehmeria nivea) Caused by Pseudocercospora boehmeriae in Indonesia. Japanese Journal of Tropical Agriculture, 38(1), 59–64.","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/angular_leaf_spot.jpg)"
"Black leaf spot","Alternaria alternata","2012 and 2013 (observed on 4-6 week old plants)","20-30%, 11.8-12% severity, affecting >6000 ha","Yuanjiang (E:112.33, N:28.16) Hunan Province and Xianning (E:114.18, N:29.49) Hubei Province, China","Yu, Y., Zeng, L., Huang, L., Yan, Z., Sun, K., Zhu, T., & Zhu, A. (2016). First Report of Black Leaf Spot Caused by Alternaria alternata on Ramie in China. Journal of Phytopathology, 164, 358–361. https://doi.org/10.1111/jph.12428","[View Image](https://raw.githubusercontent.com/BarsatKhadka/Precision-Agriculture-monoRepo/main/ramie-disease-dataset/images/black_leaf_spot.jpg)"
